date,raul_matched,statia_matched,diag_H_cm,diag_Q_m3_s,CA_cm,CI_cm,CP_cm,pct_CA_diag,Q_ratio_diag,risk_class
2025-12-25,arges,Malu Spart,456.0,585.0,510.0,540.0,600.0,89.41176470588236,22.674418604651162,foarte ridicat
2023-12-27,arges,Malu Spart,185.0,16.5,210.0,240.0,300.0,88.09523809523809,0.6395348837209303,foarte ridicat
2023-11-26,arges,Malu Spart,181.0,18.1,210.0,240.0,300.0,86.19047619047619,0.7269076305220884,foarte ridicat
2023-09-08,arges,Malu Spart,180.0,8.52,210.0,240.0,300.0,85.71428571428571,0.38727272727272727,foarte ridicat
2026-02-26,vedea,Alexandria,300.0,78.0,380.0,500.0,550.0,78.94736842105263,5.379310344827586,ridicat
2025-12-02,arges,Malu Spart,390.0,433.0,510.0,540.0,600.0,76.47058823529412,16.782945736434108,ridicat
2025-12-01,arges,Malu Spart,358.0,359.0,510.0,540.0,600.0,70.19607843137254,13.914728682170542,ridicat
2026-02-21,vedea,Alexandria,258.0,56.5,380.0,500.0,550.0,67.89473684210526,3.896551724137931,ridicat
2026-02-27,vedea,Alexandria,250.0,53.0,380.0,500.0,550.0,65.78947368421053,3.6551724137931036,ridicat
2023-02-27,vedea,Alexandria,192.0,69.3,300.0,400.0,500.0,64.0,4.149700598802395,ridicat
2026-02-25,vedea,Alexandria,235.0,46.7,380.0,500.0,550.0,61.8421052631579,3.220689655172414,ridicat
2023-03-17,arges,Malu Spart,128.0,54.7,210.0,240.0,300.0,60.952380952380956,1.54957507082153,ridicat
2023-04-19,arges,Malu Spart,123.0,59.5,210.0,240.0,300.0,58.57142857142858,1.0530973451327434,ridicat
2023-03-31,vedea,Alexandria,123.0,3.1,210.0,240.0,300.0,58.57142857142858,0.1225296442687747,ridicat
2026-02-08,vedea,Alexandria,222.0,41.2,380.0,500.0,550.0,58.42105263157895,2.841379310344828,ridicat
